OP-Act, September 13, 2025, 12:43 am: Logfile created using method 1.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Verified inbound connection.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Verified globals.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Created a directory at /home/converter/5cf8d421483a.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Created a directory at /home/converter/5cf8d421483a/50179e3b066f/.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/50179e3b066f/.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Verified required directories.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Cleaned temporary location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Cleaned convert location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Could not verify tokens!
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Verified color scheme.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Verified language.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/50179e3b066f: Displaying the GUI.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified inbound connection.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified globals.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Created a directory at /home/converter/5cf8d421483a/e1af1fdf27e7/.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/e1af1fdf27e7/.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified required directories.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Cleaned temporary location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Cleaned convert location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified tokens.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified color scheme.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified language.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Displaying the GUI.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Initiating Uploader.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: User selected to Upload file 20250821_213433.mp4.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Uploaded file 20250821_213433.mp4 to /home/converter/5cf8d421483a/e1af1fdf27e7/20250821_213433.mp4.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Upload Complete.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified inbound connection.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified globals.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified required directories.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Cleaned temporary location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Cleaned convert location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified tokens.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified color scheme.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified language.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Displaying the GUI.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified inbound connection.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified globals.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified required directories.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Cleaned temporary location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Cleaned convert location.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified tokens.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified color scheme.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified language.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Initiating Downloader.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: User selected to Download file 20250821_213433.mp4.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Copying file 20250821_213433.mp4 to /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/e1af1fdf27e7/20250821_213433.mp4.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Copied file 20250821_213433.mp4.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Verified file.
Op-Act, September 13, 2025, 12:43 am, 5cf8d421483a/e1af1fdf27e7: Download Complete.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified inbound connection.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified globals.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified required directories.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Cleaned temporary location.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Cleaned convert location.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified tokens.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified color scheme.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified language.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Initiating Converter.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: User selected to Convert file 20250821_213433.mp4.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Deleting stale file /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/e1af1fdf27e7/20250821_213433.mp4.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Copying file 20250821_213433.mp4 to /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/e1af1fdf27e7/20250821_213433.mp4.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Copied file 20250821_213433.mp4.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified file /home/converter/5cf8d421483a/e1af1fdf27e7/20250821_213433.mkv.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Starting virus scan.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Virus scan complete.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Converting video.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Video Conversion Complete
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Created a file at /home/converter/5cf8d421483a/e1af1fdf27e7/20250821_213433.mkv.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Conversion Complete.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified inbound connection.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified globals.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified required directories.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Cleaned temporary location.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Cleaned convert location.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified tokens.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified color scheme.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified language.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Initiating Downloader.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: User selected to Download file 20250821_213433.mkv.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Copying file 20250821_213433.mkv to /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/e1af1fdf27e7/20250821_213433.mkv.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Copied file 20250821_213433.mkv.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Verified file.
Op-Act, September 13, 2025, 12:44 am, 5cf8d421483a/e1af1fdf27e7: Download Complete.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Verified inbound connection.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Verified globals.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/50179e3b066f/.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Verified required directories.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Cleaned temporary location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Cleaned convert location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Could not verify tokens!
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Verified color scheme.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Verified language.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/50179e3b066f: Displaying the GUI.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified inbound connection.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified globals.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Created a directory at /home/converter/5cf8d421483a.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Created a directory at /home/converter/5cf8d421483a/7d5752c471d2/.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified required directories.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned temporary location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned convert location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified tokens.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified color scheme.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified language.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Displaying the GUI.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Initiating Uploader.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: User selected to Upload file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
